tender_id,tender_country,tender_title,tender_size,tender_supplyType,tender_procedureType,tender_nationalProcedureType,tender_mainCpv,tender_cpvs,tender_addressOfImplementation_nuts,tender_year,tender_eligibleBidLanguages,tender_npwp_reasons,tender_awardDeadline,tender_contractSignatureDate,tender_awardDecisionDate,tender_bidDeadline,tender_cancellationDate,tender_estimatedStartDate,tender_estimatedCompletionDate,tender_estimatedDurationInYears,tender_estimatedDurationInMonths,tender_estimatedDurationInDays,tender_isEUFunded,tender_isDps,tender_isElectronicAuction,tender_isAwarded,tender_isCentralProcurement,tender_isJointProcurement,tender_isOnBehalfOf,tender_isFrameworkAgreement,tender_isCoveredByGpa,tender_hasLots,tender_estimatedPrice,tender_estimatedPrice_currency,tender_estimatedPrice_minNetAmount,tender_estimatedPrice_maxNetAmount,tender_estimatedPrice_EUR,tender_finalPrice,tender_finalPrice_currency,tender_finalPrice_minNetAmount,tender_finalPrice_maxNetAmount,tender_finalPrice_EUR,tender_description_length,tender_personalRequirements_length,tender_economicRequirements_length,tender_technicalRequirements_length,tender_documents_count,tender_awardCriteria_count,tender_corrections_count,tender_onBehalfOf_count,tender_lots_count,tender_publications_count,tender_publications_firstCallForTenderDate,tender_publications_lastCallForTenderDate,tender_publications_firstdContractAwardDate,tender_publications_lastContractAwardDate,tender_publications_lastContractAwardUrl,tender_indicator_INTEGRITY_SINGLE_BID,tender_indicator_INTEGRITY_CALL_FOR_TENDER_PUBLICATION,tender_indicator_INTEGRITY_ADVERTISEMENT_PERIOD,tender_indicator_INTEGRITY_PROCEDURE_TYPE,tender_indicator_INTEGRITY_DECISION_PERIOD,tender_indicator_INTEGRITY_TAX_HAVEN,tender_indicator_INTEGRITY_NEW_COMPANY,tender_indicator_ADMINISTRATIVE_CENTRALIZED_PROCUREMENT,tender_indicator_ADMINISTRATIVE_ELECTRONIC_AUCTION,tender_indicator_ADMINISTRATIVE_COVERED_BY_GPA,tender_indicator_ADMINISTRATIVE_FRAMEWORK_AGREEMENT,tender_indicator_ADMINISTRATIVE_ENGLISH_AS_FOREIGN_LANGUAGE,tender_indicator_ADMINISTRATIVE_NOTICE_AND_AWARD_DISCREPANCIES,tender_indicator_TRANSPARENCY_NUMBER_OF_KEY_MISSING_FIELDS,tender_indicator_TRANSPARENCY_AWARD_DATE_MISSING,tender_indicator_TRANSPARENCY_BUYER_NAME_MISSING,tender_indicator_TRANSPARENCY_PROC_METHOD_MISSING,tender_indicator_TRANSPARENCY_BUYER_LOC_MISSING,tender_indicator_TRANSPARENCY_BIDDER_ID_MISSING,tender_indicator_TRANSPARENCY_BIDDER_NAME_MISSING,tender_indicator_TRANSPARENCY_MARKET_MISSING,tender_indicator_TRANSPARENCY_TITLE_MISSING,tender_indicator_TRANSPARENCY_VALUE_MISSING,tender_indicator_TRANSPARENCY_YEAR_MISSING,tender_indicator_INTEGRITY_WINNER_CA_SHARE,tender_indicator_TRANSPARENCY_MISSING_ADDRESS_OF_IMPLEMENTATION_NUTS,tender_indicator_TRANSPARENCY_MISSING_ELIGIBLE_BID_LANGUAGES,tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_AWARD_CRITERIA,tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_CPVS,tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_DURATION_INFO,tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_FUNDINGS_INFO,tender_indicator_TRANSPARENCY_MISSING_SELECTION_METHOD,tender_indicator_TRANSPARENCY_MISSING_SUBCONTRACTED_INFO,buyer_row_nr,buyer_buyerType,buyer_mainActivities,buyer_id,buyer_name,buyer_nuts,buyer_city,buyer_country,buyer_postcode,lot_row_nr,lot_title,lot_selectionMethod,lot_status,lot_contractSignatureDate,lot_cancellationDate,lot_isAwarded,lot_estimatedPrice,lot_estimatedPrice_currency,lot_estimatedPrice_minNetAmount,lot_estimatedPrice_maxNetAmount,lot_estimatedPrice_EUR,lot_lotNumber,lot_bidsCount,lot_validBidsCount,lot_smeBidsCount,lot_electronicBidsCount,lot_nonEuMemberStatesCompaniesBidsCount,lot_otherEuMemberStatesCompaniesBidsCount,lot_foreignCompaniesBidsCount,lot_description_length,bid_row_nr,bid_isWinning,bid_isSubcontracted,bid_isConsortium,bid_price,bid_price_currency,bid_price_minNetAmount,bid_price_maxNetAmount,bid_price_EUR,bidder_row_nr,bidder_id,bidder_name,bidder_nuts,bidder_city,bidder_country,bidder_postcode
2c0a6a6a-e09c-4afa-b5a3-3e3d126a60dd,MLT,Tender for the provision of security services to all MCAST sites.,##empty,SERVICES,OPEN,pt_open,79710000,79710000,##empty,2011,EN,##empty,##empty,##empty,##empty,2011/12/20,##empty,##empty,##empty,##empty,36,1080,no,no,no,##empty,##empty,##empty,no,no,yes,no,##empty,##empty,##empty,##empty,##empty,45420,EUR,##empty,##empty,45420,139,23,23,23,##empty,1,##empty,##empty,1,3,2011-10-27,2011-10-27,2012-09-12,2016-06-11,http://ted.europa.eu/udl?uri=TED:NOTICE:200280-2016:TEXT:EN:HTML,100,100,100,100,100,100,##empty,##empty,0,100,0,100,83.3333,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,0,100,##empty,100,0,100,100,100,1,NATIONAL_AUTHORITY,"EDUCATION,OTHER",EU_body_0c0b3639887dcf3eac1ee1dd588b1644dd1bb454cfb9910dd986614338368d27,Malta College of Arts Science and Technology,MT,Paola,MLT,PLA 9032,1,CT 2200/2011.,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,6,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,45420,EUR,##empty,##empty,45420,1,EU_body_ac5d9d1e810752a177a089562f9ff7367afff36bf2128df70aff2d7d84d86146,Kavallier Security Services Ltd,##empty,Msida,MLT,##empty
14942d02-aec4-41ed-b4f9-63ec3c2d1811,MLT,Tender for the provision of 12 saloon vehicles and 4 all-terrain vehicles for the Malta Police Force.,##empty,SUPPLIES,OPEN,pt_open,34111200,"34111200,34113200",##empty,2011,EN,##empty,##empty,##empty,##empty,2011/05/03,##empty,2011/07/01,2011/11/30,##empty,##empty,152,yes,no,no,##empty,##empty,##empty,no,no,yes,no,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,393,23,23,23,##empty,1,##empty,##empty,1,1,2011-03-17,2011-03-17,##empty,##empty,##empty,##empty,100,100,100,##empty,##empty,##empty,##empty,0,100,0,100,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,0,##empty,##empty,##empty,100,##empty,100,0,##empty,100,##empty,1,NATIONAL_AUTHORITY,"PUBLIC_ORDER_AND_SAFETY,GENERAL_PUBLIC_SERVICES,OTHER",EU_body_efb3a4172e5f75e5bfba799bb181c85c19d0d806aa020f6c23dac7f80c91da87,Malta Police Force,MT001,Floriana,MLT,FRN 1600,1,##empty,##empty,ANNOUNCED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty
26d91adf-7bb3-4d85-96dc-b3a62ab137af,MLT,Deferasirox dispersable 500 mg tablets.,ABOVE_THE_THRESHOLD,SUPPLIES,OPEN,pt_open,33621300,33621300,##empty,2011,"EN,MT",##empty,##empty,##empty,##empty,2011/03/29,##empty,##empty,##empty,##empty,12,360,no,no,no,##empty,##empty,##empty,no,no,yes,yes,##empty,##empty,##empty,##empty,##empty,216246.85,EUR,##empty,##empty,216246.85,39,##empty,##empty,##empty,##empty,1,##empty,##empty,1,2,2011-01-29,2011-01-29,2011-12-17,2011-12-17,http://ted.europa.eu/udl?uri=TED:NOTICE:393410-2011:TEXT:EN:HTML,0,100,100,100,100,100,##empty,##empty,0,100,0,100,66.6667,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,0,100,##empty,100,0,100,100,100,1,NATIONAL_AUTHORITY,HEALTH,EU_body_9b5d219ad49047ab541a769544ac6adfd2ec112fafc9e314870a99cdf7852c2a,Government Pharmaceuticals Services,MT001,Gwardamangia,MLT,PTA 1010,1,CT 2212/2010.,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,216246.85,EUR,##empty,##empty,216246.85,1,EU_body_af1dc2bc68fd431af3cc8b6a7ae4d190e675f846a92a297965e51652366451b0,V J Salomone Pharma Ltd,##empty,Marsa,MLT,MRS 1542
df080c6d-4de8-4a71-8488-9a21e7ef891c,MLT,"Supply, delivery, installation and commissioning of a complete Automated Fingerprint Identification System.",ABOVE_THE_THRESHOLD,SUPPLIES,OPEN,pt_open,48000000,48000000,##empty,2011,EN,##empty,##empty,##empty,##empty,2011/02/22,##empty,##empty,##empty,##empty,##empty,##empty,yes,no,no,##empty,##empty,##empty,no,no,yes,no,##empty,##empty,##empty,##empty,##empty,1349878,EUR,##empty,##empty,1349878,336,23,23,23,##empty,1,##empty,##empty,1,2,2011-01-11,2011-01-11,2011-12-20,2011-12-20,http://ted.europa.eu/udl?uri=TED:NOTICE:395255-2011:TEXT:EN:HTML,100,100,100,100,100,100,##empty,##empty,0,100,0,100,83.3333,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,0,100,##empty,100,0,100,100,100,1,NATIONAL_AUTHORITY,"PUBLIC_ORDER_AND_SAFETY,GENERAL_PUBLIC_SERVICES,OTHER",EU_body_efb3a4172e5f75e5bfba799bb181c85c19d0d806aa020f6c23dac7f80c91da87,Malta Police Force,MT001,Floriana,MLT,FRN 1600,1,CT 3085/2010.,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,2,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,1349878,EUR,##empty,##empty,1349878,1,EU_body_7056c5df0d1114e5f7a6347f9a2f89d73d9cb876697c96ffa0d801ef09dee7ad,Morpho,FR105,Issy les Moulineaux,FRA,92130
654a5175-e540-425e-8057-8e10c152f40d,MLT,Docetaxel injections.,BELOW_THE_THRESHOLD,SUPPLIES,OPEN,pt_open,33652100,33652100,##empty,2011,EN,##empty,##empty,##empty,##empty,2011/06/09,##empty,##empty,##empty,##empty,12,360,no,no,no,##empty,##empty,##empty,no,no,yes,no,##empty,##empty,##empty,##empty,##empty,50874,EUR,##empty,##empty,50874,830,##empty,##empty,##empty,##empty,1,##empty,##empty,1,2,2011-04-14,2011-04-14,2011-12-20,2011-12-20,http://ted.europa.eu/udl?uri=TED:NOTICE:395079-2011:TEXT:EN:HTML,100,100,100,100,100,100,##empty,##empty,0,100,0,100,83.3333,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,0,100,##empty,100,0,100,100,100,1,NATIONAL_AUTHORITY,HEALTH,EU_body_9b5d219ad49047ab541a769544ac6adfd2ec112fafc9e314870a99cdf7852c2a,Government Pharmaceuticals Services,MT001,Gwardamangia,MLT,PTA 1010,1,CT 2089/2011.,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,5,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,50874,EUR,##empty,##empty,50874,1,EU_body_ef38f81300408e88905f7faf201d7be0108454f53def295c040e2ea2531e300f,Accord Healthcare Ltd,UKM,North Harrow,UK,HA1 4HF
3bb71474-f837-47d6-9d94-4d21b5aceb4e,MLT,Provision of two (2) special utility vehicles with built-in floodlight system for the Malta Police Force.,ABOVE_THE_THRESHOLD,SUPPLIES,OPEN,pt_open,34114000,"34114000,34113000,34114100,34144700,34114110",##empty,2011,EN,##empty,##empty,##empty,##empty,2011/05/03,##empty,##empty,##empty,##empty,##empty,##empty,yes,no,no,##empty,##empty,##empty,no,no,yes,no,##empty,##empty,##empty,##empty,##empty,184900,EUR,##empty,##empty,184900,487,23,23,23,##empty,1,##empty,##empty,1,2,2011-03-16,2011-03-16,2011-07-22,2011-07-22,http://ted.europa.eu/udl?uri=TED:NOTICE:230101-2011:TEXT:EN:HTML,0,100,100,100,50,100,##empty,##empty,0,100,0,100,83.3333,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,0,100,##empty,100,0,100,100,100,1,NATIONAL_AUTHORITY,"PUBLIC_ORDER_AND_SAFETY,GENERAL_PUBLIC_SERVICES,OTHER",EU_body_efb3a4172e5f75e5bfba799bb181c85c19d0d806aa020f6c23dac7f80c91da87,Malta Police Force,MT001,Floriana,MLT,FRN 1600,1,CT 3021/2011.,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,184900,EUR,##empty,##empty,184900,1,EU_body_9bb523f41f3db0e116d79ce443d1b97536e8ec441a6e66d5924738754c0edd09,Attrans Commercials Ltd,##empty,Zebbug,MLT,##empty
54076361-eb5b-4b7f-a234-02d75b4a2fd0,MLT,Short-acting insulin vials and intermediate-acting isulin vials.,ABOVE_THE_THRESHOLD,SUPPLIES,OPEN,pt_open,33615100,33615100,##empty,2011,EN,##empty,##empty,##empty,##empty,2011/05/05,##empty,##empty,##empty,##empty,12,360,no,no,no,##empty,##empty,##empty,no,no,yes,no,##empty,##empty,##empty,##empty,##empty,273956.25,EUR,##empty,##empty,273956.25,1022,##empty,##empty,##empty,##empty,1,##empty,##empty,1,2,2011-03-11,2011-03-11,2011-11-03,2011-11-03,http://ted.europa.eu/udl?uri=TED:NOTICE:343538-2011:TEXT:EN:HTML,0,100,100,100,100,100,##empty,##empty,0,100,0,100,83.3333,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,0,100,##empty,100,0,100,100,100,1,NATIONAL_AUTHORITY,HEALTH,EU_body_9b5d219ad49047ab541a769544ac6adfd2ec112fafc9e314870a99cdf7852c2a,Government Pharmaceuticals Services,MT001,Gwardamangia,MLT,PTA 1010,1,CT 2008/2011.,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,273956.25,EUR,##empty,##empty,273956.25,1,EU_body_7df775a5e154ea92dcd0314533e59dd91f1e28686645e71c72407ca8af13d494,Charles de Giorgio Ltd.,##empty,Birkirkara,MLT,BKR 1114
d5fdaa9c-7ef2-4103-b80b-32c356b6590e,MLT,Enalapril 5mg tablets.,##empty,SUPPLIES,OPEN,pt_open,33622800,33622800,##empty,2011,EN,##empty,##empty,##empty,##empty,2011/09/20,##empty,##empty,##empty,##empty,12,360,no,no,no,##empty,##empty,##empty,no,no,yes,yes,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,341,##empty,##empty,##empty,##empty,1,##empty,##empty,1,2,2011-07-29,2011-07-29,2012-04-21,2012-04-21,http://ted.europa.eu/udl?uri=TED:NOTICE:127758-2012:TEXT:EN:HTML,100,100,100,100,100,100,##empty,##empty,0,100,0,100,83.3333,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,0,##empty,##empty,0,100,##empty,100,0,100,100,100,1,NATIONAL_AUTHORITY,HEALTH,EU_body_9b5d219ad49047ab541a769544ac6adfd2ec112fafc9e314870a99cdf7852c2a,Government Pharmaceuticals Services,MT001,Gwardamangia,MLT,PTA 1010,1,CT 2135/2011.,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,4,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,##empty,##empty,##empty,##empty,##empty,1,EU_body_6410825a58bd8b071bee1603c69bdfbe2098f56debc88106c050ff0efa789ab9,Europharma Ltd.,##empty,Birkirkara,MLT,BKR 9076
7f2474e2-d16a-41d4-92bf-8eefefd75bee,MLT,Tender for the provision of nursing services to all Mount Carmel hospital sites.,##empty,SERVICES,OPEN,pt_open,79624000,79624000,##empty,2011,EN,##empty,##empty,##empty,##empty,2011/08/23,##empty,##empty,##empty,##empty,24,720,no,no,no,##empty,##empty,##empty,no,no,yes,no,##empty,##empty,##empty,##empty,##empty,2946011,EUR,##empty,##empty,2946011,218,23,23,23,##empty,1,##empty,##empty,1,2,2011-06-23,2011-06-23,2012-04-03,2012-04-03,http://ted.europa.eu/udl?uri=TED:NOTICE:105526-2012:TEXT:EN:HTML,100,100,100,100,100,100,##empty,##empty,0,100,0,100,83.3333,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,0,100,##empty,100,0,100,100,100,1,NATIONAL_AUTHORITY,HEALTH,EU_body_16721d69a8be068cae21c487fc7f2107b2f54b445ca6d21517879c6f6f6d70ee,Mount Carmel Hospital,##empty,Attard,MLT,ATD 9033,1,CT 2240/2010.,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,2,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,2946011,EUR,##empty,##empty,2946011,1,EU_body_9c9e0eb8ced96881772c491ecdf2a295ea833e3283c405d63a181bda3366fa24,Health Services Group Ltd.,##empty,Santa Venera,MLT,HMR 11
084ce550-a13a-4946-b275-49e2b48208d4,MLT,Supply of Atorvastatin Tablets/Capsules.,BELOW_THE_THRESHOLD,SUPPLIES,OPEN,pt_open,33622400,33622400,##empty,2011,EN,##empty,##empty,##empty,##empty,2011/04/26,##empty,##empty,##empty,##empty,12,360,no,no,no,##empty,##empty,##empty,no,no,yes,no,##empty,##empty,##empty,##empty,##empty,126229.71,EUR,##empty,##empty,126229.71,521,##empty,##empty,##empty,##empty,1,##empty,##empty,1,2,2011-02-26,2011-02-26,2012-01-06,2012-01-06,http://ted.europa.eu/udl?uri=TED:NOTICE:003877-2012:TEXT:EN:HTML,100,100,100,100,100,100,##empty,##empty,0,100,0,100,75,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,0,100,##empty,100,0,100,100,100,1,NATIONAL_AUTHORITY,HEALTH,EU_body_9b5d219ad49047ab541a769544ac6adfd2ec112fafc9e314870a99cdf7852c2a,Government Pharmaceuticals Services,MT001,Gwardamangia,MLT,PTA 1010,1,CT 2050/2011.,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,3,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,126229.71,EUR,##empty,##empty,126229.71,1,EU_body_4e5e5631902cbc383defcb8a148c7f86b19b394f03495bbc27f1a68ccb6ed7de,V. J. Salomone Pharma Ltd.,##empty,Marsa,MLT,##empty
